epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0355,3.43181,7.72688,3.38214,0,0,0,0,2.79735,6.62721,3.05251,3e-05,3e-05,3e-05
2,50.3842,3.0543,7.39315,3.14008,0,0,0,0,1.94437,6.31664,2.94935,5.8565e-05,5.8565e-05,5.8565e-05
3,73.6539,3.09529,7.3823,3.05835,0,0,0,0,1.81122,6.20131,3.17563,8.02e-05,8.02e-05,8.02e-05
4,97.0714,2.77317,6.64707,2.95657,0,0,0,0,2.77684,6.62627,3.46795,9.4905e-05,9.4905e-05,9.4905e-05
5,120.154,2.62281,6.76325,2.81277,0,0,0,0,2.60821,6.36951,3.26529,0.00010268,0.00010268,0.00010268
6,143.747,2.50831,6.44436,2.75718,0,0,0,0,2.97535,6.21879,3.21176,0.000103525,0.000103525,0.000103525
7,168.313,2.48911,6.3838,2.51942,0,0,0,0,2.71071,6.1038,2.99682,9.744e-05,9.744e-05,9.744e-05
8,192.146,2.29811,6.36744,2.38862,0,0,0,0,2.12995,5.81088,1.95032,8.4425e-05,8.4425e-05,8.4425e-05
9,215.443,2.18537,6.36133,2.24446,0,0,0,0,1.88951,5.95785,1.87992,6.448e-05,6.448e-05,6.448e-05
10,238.375,2.32438,6.57548,2.26215,0,0,0,0,1.8197,5.8833,1.86542,3.7605e-05,3.7605e-05,3.7605e-05
